dataset,knn_x,ngboost_x,pgbm_5e13b5ea212546260ba205c54e1d9559_x,ibug_3c6e45799d41bd18a1c73419c9a8cedf_x,knn_y,ngboost_y,pgbm_5e13b5ea212546260ba205c54e1d9559_y,ibug_3c6e45799d41bd18a1c73419c9a8cedf_y
ames,11.83$_{(0.01)}$,11.29$_{(0.02)}$,47.07$_{(18.61)}$,{\bfseries 11.23$_{(0.02)}$},11.83$_{(0.01)}$,11.29$_{(0.01)}$,11.29$_{(0.02)}$,{\bfseries 11.23$_{(0.02)}$}
bike,1.865$_{(0.006)}$,1.921$_{(0.012)}$,9.545$_{(1.263)}$,2.920$_{(0.047)}$,1.666$_{(0.015)}$,1.921$_{(0.012)}$,1.819$_{(0.040)}$,{\bfseries 1.310$_{(0.036)}$}
california,1.455$_{(0.003)}$,0.533$_{(0.006)}$,3.258$_{(2.582)}$,{\bfseries 0.437$_{(0.011)}$},1.455$_{(0.003)}$,0.529$_{(0.005)}$,0.572$_{(0.009)}$,{\bfseries 0.437$_{(0.011)}$}
communities,-0.501$_{(0.106)}$,{\bfseries -0.700$_{(0.053)}$},36.739$_{(13.552)}$,-0.583$_{(0.125)}$,-0.512$_{(0.103)}$,{\bfseries -0.715$_{(0.044)}$},{\bfseries -0.686$_{(0.029)}$},{\bfseries -0.659$_{(0.083)}$}
concrete,3.490$_{(0.026)}$,3.050$_{(0.025)}$,10.286$_{(5.848)}$,2.906$_{(0.030)}$,3.483$_{(0.025)}$,3.033$_{(0.022)}$,{\bfseries 2.730$_{(0.048)}$},2.866$_{(0.034)}$
energy,1.710$_{(0.016)}$,0.694$_{(0.126)}$,{\bfseries 0.475$_{(0.117)}$},1.106$_{(0.089)}$,1.757$_{(0.039)}$,0.650$_{(0.104)}$,{\bfseries 0.481$_{(0.110)}$},0.861$_{(0.080)}$
facebook,6.191$_{(1.315)}$,2.099$_{(0.019)}$,5.445$_{(0.868)}$,2.127$_{(0.035)}$,5.072$_{(0.667)}$,2.099$_{(0.019)}$,3.159$_{(0.059)}$,{\bfseries 2.066$_{(0.028)}$}
kin8nm,-0.671$_{(0.004)}$,-0.403$_{(0.007)}$,0.382$_{(0.093)}$,{\bfseries -0.753$_{(0.005)}$},-0.671$_{(0.004)}$,-0.411$_{(0.006)}$,{\bfseries -0.729$_{(0.071)}$},{\bfseries -0.753$_{(0.005)}$}
life,3.438$_{(0.016)}$,2.176$_{(0.025)}$,30.594$_{(15.466)}$,1.908$_{(0.060)}$,3.432$_{(0.013)}$,2.147$_{(0.019)}$,1.961$_{(0.021)}$,{\bfseries 1.842$_{(0.041)}$}
meps,4.812$_{(0.043)}$,{\bfseries 3.790$_{(0.055)}$},21.159$_{(5.049)}$,4.686$_{(0.494)}$,4.790$_{(0.040)}$,{\bfseries 3.775$_{(0.043)}$},3.870$_{(0.035)}$,3.962$_{(0.088)}$
msd,3.651$_{(0.001)}$,3.453$_{(0.001)}$,65.736$_{(0.182)}$,3.412$_{(0.001)}$,3.651$_{(0.001)}$,3.453$_{(0.001)}$,3.571$_{(0.002)}$,{\bfseries 3.407$_{(0.001)}$}
naval,-5.553$_{(0.012)}$,-5.403$_{(0.005)}$,-3.766$_{(0.217)}$,-5.872$_{(0.013)}$,-5.557$_{(0.022)}$,-5.405$_{(0.005)}$,-4.706$_{(0.676)}$,{\bfseries -6.281$_{(0.009)}$}
news,11.13$_{(0.24)}$,10.85$_{(0.13)}$,59.20$_{(14.66)}$,11.53$_{(0.29)}$,10.82$_{(0.10)}$,10.82$_{(0.09)}$,{\bfseries 10.63$_{(0.11)}$},{\bfseries 10.63$_{(0.09)}$}
obesity,1.608$_{(0.005)}$,-0.706$_{(0.005)}$,8.527$_{(2.667)}$,-0.655$_{(0.034)}$,1.608$_{(0.005)}$,-0.706$_{(0.005)}$,-0.532$_{(0.137)}$,{\bfseries -0.981$_{(0.012)}$}
power,2.773$_{(0.013)}$,2.798$_{(0.034)}$,13.912$_{(5.864)}$,2.561$_{(0.030)}$,2.768$_{(0.012)}$,2.773$_{(0.019)}$,{\bfseries 2.520$_{(0.017)}$},2.556$_{(0.028)}$
protein,3.164$_{(0.002)}$,2.839$_{(0.008)}$,4.954$_{(0.264)}$,2.649$_{(0.030)}$,3.164$_{(0.002)}$,2.840$_{(0.007)}$,2.682$_{(0.010)}$,{\bfseries 2.598$_{(0.017)}$}
star,6.935$_{(0.008)}$,6.871$_{(0.010)}$,28.068$_{(4.562)}$,{\bfseries 6.854$_{(0.008)}$},6.935$_{(0.008)}$,6.873$_{(0.009)}$,6.871$_{(0.008)}$,{\bfseries 6.854$_{(0.008)}$}
superconductor,3.748$_{(0.351)}$,{\bfseries 1.230$_{(1.920)}$},8.180$_{(1.807)}$,-0.317$_{(0.114)}$,3.481$_{(0.191)}$,1.495$_{(1.908)}$,0.080$_{(0.189)}$,{\bfseries -0.624$_{(0.117)}$}
synthetic,3.808$_{(0.004)}$,3.749$_{(0.005)}$,29.368$_{(4.852)}$,{\bfseries 3.744$_{(0.005)}$},3.808$_{(0.004)}$,{\bfseries 3.748$_{(0.004)}$},{\bfseries 3.747$_{(0.004)}$},{\bfseries 3.744$_{(0.005)}$}
wave,11.01$_{(0.00)}$,10.71$_{(0.00)}$,25.29$_{(5.98)}$,10.94$_{(0.00)}$,11.01$_{(0.00)}$,10.71$_{(0.00)}$,{\bfseries 10.26$_{(0.02)}$},10.68$_{(0.01)}$
wine,1.204$_{(0.011)}$,1.036$_{(0.006)}$,66.352$_{(18.767)}$,{\bfseries 0.904$_{(0.009)}$},1.203$_{(0.011)}$,1.032$_{(0.005)}$,0.933$_{(0.012)}$,{\bfseries 0.904$_{(0.009)}$}
yacht,2.535$_{(0.127)}$,0.527$_{(0.071)}$,4.261$_{(1.988)}$,1.139$_{(0.077)}$,2.571$_{(0.104)}$,0.540$_{(0.069)}$,{\bfseries 0.248$_{(0.150)}$},{\bfseries 0.175$_{(0.122)}$}
knn_x W-T-L,-,3-3-16,14-7-1,1-3-18,0-18-4,3-3-16,0-3-19,0-0-22
ngboost_x W-T-L,16-3-3,-,15-6-1,5-5-12,16-3-3,2-15-5,3-9-10,0-5-17
pgbm_5e13b5ea212546260ba205c54e1d9559_x W-T-L,1-7-14,1-6-15,-,1-6-15,1-7-14,1-6-15,0-8-14,1-6-15
ibug_3c6e45799d41bd18a1c73419c9a8cedf_x W-T-L,18-3-1,12-5-5,15-6-1,-,18-2-2,12-5-5,7-9-6,0-10-12
knn_y W-T-L,4-18-0,3-3-16,14-7-1,2-2-18,-,3-3-16,1-3-18,0-0-22
ngboost_y W-T-L,16-3-3,5-15-2,15-6-1,5-5-12,16-3-3,-,4-8-10,2-3-17
pgbm_5e13b5ea212546260ba205c54e1d9559_y W-T-L,19-3-0,10-9-3,14-8-0,6-9-7,18-3-1,10-8-4,-,3-6-13
ibug_3c6e45799d41bd18a1c73419c9a8cedf_y W-T-L,22-0-0,17-5-0,15-6-1,12-10-0,22-0-0,17-3-2,13-6-3,-
